2017-08-29 17:39:16 [http-nio-80-exec-7] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 43 ms
2017-08-29 17:39:23 [http-nio-80-exec-9] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@18dcfbf3: startup date [Tue Aug 29 17:39:23 CST 2017]; parent: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@68f1a1de
2017-08-29 17:39:24 [http-nio-80-exec-9] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-08-29 17:39:24 [http-nio-80-exec-9] INFO  c.n.config.ChainedDynamicProperty - Flipping property: vm-eureka-server-ad.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
2017-08-29 17:39:24 [http-nio-80-exec-9] INFO  c.n.u.c.ShutdownEnabledTimer - Shutdown hook installed for: NFLoadBalancer-PingTimer-vm-eureka-server-ad
2017-08-29 17:39:24 [http-nio-80-exec-9] INFO  c.n.loadbalancer.BaseLoadBalancer - Client: vm-eureka-server-ad instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=vm-eureka-server-ad,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
2017-08-29 17:39:24 [http-nio-80-exec-9] INFO  c.n.l.DynamicServerListLoadBalancer - Using serverListUpdater PollingServerListUpdater
2017-08-29 17:39:24 [http-nio-80-exec-9] INFO  c.n.config.ChainedDynamicProperty - Flipping property: vm-eureka-server-ad.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
2017-08-29 17:39:24 [http-nio-80-exec-9] INFO  c.n.l.DynamicServerListLoadBalancer - DynamicServerListLoadBalancer for client vm-eureka-server-ad initialized: DynamicServerListLoadBalancer:{NFLoadBalancer:name=vm-eureka-server-ad,current list of Servers=[192.168.0.103:8001],Load balancer stats=Zone stats: {defaultzone=[Zone:defaultzone;	Instance count:1;	Active connections count: 0;	Circuit breaker tripped count: 0;	Active connections per server: 0.0;]
},Server stats: [[Server:192.168.0.103:8001;	Zone:defaultZone;	Total Requests:0;	Successive connection failure:0;	Total blackout seconds:0;	Last connection made:Thu Jan 01 08:00:00 CST 1970;	First connection made: Thu Jan 01 08:00:00 CST 1970;	Active Connections:0;	total failure count in last (1000) msecs:0;	average resp time:0.0;	90 percentile resp time:0.0;	95 percentile resp time:0.0;	min resp time:0.0;	max resp time:0.0;	stddev resp time:0.0]
]}ServerList:org.springframework.cloud.netflix.ribbon.eureka.DomainExtractingServerList@20f87594
2017-08-29 17:39:25 [PollingServerListUpdater-0] INFO  c.n.config.ChainedDynamicProperty - Flipping property: vm-eureka-server-ad.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
2017-08-29 17:44:05 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2017-08-29 17:49:05 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2017-08-29 17:54:05 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
